_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_activity,control_tension,control_engagement,control_positivity,control_like_dislike,song_chillsshiversthrills,song_activity,song_tension,song_familiarity,song_engagement,song_positivity,song_like_dislike,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,language,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,concentration,song,musicpref_traditional_irish,musicpref_jazz,musicpref_folk,musicpref_hiphop,musicpref_classical,musicpref_none,musicpref_rock,musicpref_hip_hop,musicpref_world,musicpref_pop,musicpref_dance
570eb77b83a73509d0e03a2e,taichung_city,male,0,taiwanese,0,2,0,50.0,True,3,4,3,3,4,0,4,2,1,4,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,en,4,2,4,2,2,4,3,4,3,2,3,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb79783a73509d0e0429c,taichung_city,female,0,taiwanese,0,4,0,16.0,False,1,4,4,2,2,0,5,5,4,5,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,en,4,2,4,2,5,5,4,5,4,4,4,raining_blood,0,0,0,1,1,0,0,0,0,1,1
570eb73a83a73509d0e0246d,taichung_city,female,0,taiwanese,0,1,0,30.0,False,3,3,3,3,3,0,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,zh_TW,4,3,1,4,3,4,4,4,3,2,4,raining_blood,0,0,0,1,0,0,0,0,0,1,1
570eb7ae83a73509d0e049a4,taipei_city,female,0,taiwanese,0,4,0,42.0,True,3,4,4,3,4,0,4,4,1,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,en,2,2,4,5,2,1,2,4,4,4,5,raining_blood,0,0,0,0,0,0,0,0,1,0,0
570eb78a83a73509d0e03ec6,taichung_city,female,0,taiwanese,0,4,0,12.0,False,4,3,5,1,1,0,5,2,1,5,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,en,2,4,1,5,1,5,2,5,4,2,5,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb7b683a73509d0e04c1d,taipei_city,female,0,taiwanese,0,2,0,8.0,False,1,5,1,3,1,0,5,2,1,4,4,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,en,5,1,5,3,4,3,4,3,1,2,4,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb71f83a73509d0e01be1,taipei_city,female,0,taiwanese,0,3,0,7.0,False,1,2,5,2,5,0,4,5,4,2,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,en,4,2,2,4,2,2,2,4,2,4,3,raining_blood,0,0,0,0,0,0,0,0,0,0,1
570eb75383a73509d0e02cf2,taipei_city,male,0,taiwanese,0,1,0,41.0,True,5,4,3,4,5,0,3,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,zh_TW,4,3,3,3,4,2,4,4,3,2,2,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb79783a73509d0e042b4,taipei_city,female,0,taiwanese,0,2,0,44.0,False,2,1,2,1,1,0,3,2,1,3,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,en,4,3,2,4,2,4,2,4,4,4,2,raining_blood,0,0,0,0,1,0,0,0,0,1,0
570eb75283a73509d0e02c82,taipei_city,male,0,taiwanese,0,1,0,9.0,False,2,3,3,3,3,0,3,3,1,4,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,zh_TW,2,4,3,2,4,4,2,4,4,2,3,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb7b383a73509d0e04b37,taipei_city,female,0,taiwanese,0,3,0,15.0,True,4,3,5,3,2,0,5,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,en,5,1,5,2,4,4,3,2,2,3,5,raining_blood,0,0,0,1,0,0,0,0,1,1,0
570eb77083a73509d0e0368b,taipei_city,female,0,taiwanese,0,2,0,44.0,False,3,4,4,4,4,0,4,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,en,3,2,4,2,3,3,3,4,3,3,2,raining_blood,0,1,0,0,1,0,0,0,0,0,0
570eb7a683a73509d0e04754,taipei_city,male,0,taiwanese,0,3,0,17.0,True,2,3,4,3,3,0,3,2,3,4,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,en,4,3,4,4,4,4,4,4,4,4,4,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb74183a73509d0e026f2,taipei_city,female,0,taiwanese,0,1,0,48.0,True,4,2,3,2,1,0,4,2,1,4,2,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,zh_TW,3,4,3,4,2,4,3,4,4,3,2,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb75a83a73509d0e02f1b,taipei_city,male,0,taiwanese,0,3,0,11.0,True,1,5,5,5,5,0,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,zh_TW,4,1,5,5,5,4,4,2,4,4,5,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb76a83a73509d0e034b5,taichung_city,female,0,taiwanese,0,1,0,32.0,False,3,3,3,3,2,0,4,2,3,4,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,en,4,2,4,4,2,4,2,4,4,2,2,raining_blood,0,0,0,1,0,0,0,0,0,1,0
570eb75c83a73509d0e02fed,taipei_city,female,0,taiwanese,0,2,0,13.0,False,2,4,2,4,4,0,5,3,3,5,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,en,4,2,3,3,3,5,4,4,4,2,4,raining_blood,0,0,0,0,0,0,0,0,0,1,0
570eb76e83a73509d0e035f4,taipei_city,female,0,taiwanese,0,3,0,40.0,False,3,1,1,1,1,0,2,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,en,3,1,3,3,3,3,2,5,3,3,3,raining_blood,0,0,0,0,1,0,0,0,0,0,0
570eb79d83a73509d0e044be,taichung_city,female,0,taiwanese,0,2,0,28.0,False,3,3,4,3,3,0,5,5,4,5,4,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,zh_TW,5,2,5,3,3,2,3,5,3,3,4,raining_blood,0,0,0,0,0,0,0,0,0,1,0
