_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,musical_background,visual_impairments,song_inspired,song_wonder,song_spirituality,song_thrills,song_chills,song_tenderness,song_nostalgia,song_goosebumps,song_overwhelmed,song_shivers,song_chillsshiversthrills,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song,musicpref_traditional_irish,musicpref_world,musicpref_dance,musicpref_rock,musicpref_jazz,musicpref_hip_hop,musicpref_none,musicpref_classical,musicpref_hiphop,musicpref_pop,musicpref_folk
5410fc6508ad6ee3090e4e9a,dublin,,british,20.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,1.0,1.0,3.0,4.0,3.0,,,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
5410fc6708ad6ee3090e4eb4,dublin,,british,27.0,female,False,,,,,,,,,,,,,True,,,,,,,,,1.0,4.0,2.0,4.0,2.0,3.0,,,3.0,5.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,,,,,,hallelujah,0,0,1,1,0,1,0,0,0,1,0
5410fe0208ad6ee3090e54c4,dublin,,other,12.0,female,False,,,,,,,,,,,,,True,,,,,,,,,2.0,4.0,3.0,4.0,2.0,4.0,,,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,hallelujah,0,0,0,1,0,1,0,0,0,1,0
5410fe8808ad6ee3090e56ad,dublin,,other,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,2.0,3.0,4.0,,,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,,,,,,hallelujah,0,0,1,1,1,1,0,1,0,1,0
5410fe8808ad6ee3090e56b0,dublin,,british,23.0,male,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,3.0,4.0,4.0,4.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,,,,,,hallelujah,0,0,0,0,0,0,0,0,0,1,0
541101e408ad6ee3090e63be,dublin,,irish,21.0,male,False,,,,,,,,,,,,,True,,,,,,,,,1.0,3.0,1.0,2.0,4.0,4.0,,,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,,,,,,hallelujah,0,0,1,1,0,0,0,0,0,1,0
541102b008ad6ee3090e6671,dublin,,irish,41.0,female,False,,,,,,,,,,,,,True,,,,,,,,,3.0,4.0,4.0,3.0,3.0,4.0,,,,,,,,,,,,,2.0,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
541102b108ad6ee3090e6683,dublin,,irish,21.0,female,False,,,,,,,,,,,,,True,,,,,,,,,4.0,4.0,5.0,4.0,3.0,2.0,,,,,,,,,,,,,2.0,,,,,hallelujah,0,0,0,0,0,0,0,0,0,1,0
5411036108ad6ee3090e68e1,dublin,,irish,11.0,male,False,,,,,,,,,,,,,True,,,,,,,,,2.0,3.0,2.0,2.0,3.0,5.0,,,,,,,,,,,,,1.0,,,,,hallelujah,0,0,0,1,0,0,0,0,0,0,0
5411041208ad6ee3090e6b71,dublin,,other,21.0,male,True,,,,,,,,,,,,,True,,,,,,,,,3.0,3.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,2.0,,,,,hallelujah,0,0,0,0,0,1,0,0,0,1,0
