_id,location,sex,musical_background,nationality,visual_impairments,musical_expertise,hearing_impairments,age,critical_reaction,control_tension,control_familiarity,control_like_dislike,control_activity,control_positivity,control_engagement,song_inspired,song_wonder,song_spirituality,song_thrills,song_tension,song_familiarity,song_chills,song_tenderness,song_nostalgia,song_like_dislike,song_activity,song_positivity,song_engagement,song_goosebumps,song_overwhelmed,song_shivers,song_chillsshiversthrills,control_power,song_transcendence,song_sadness,song_joyfulactivation,song_peacefulness,song_power,song,musicpref_hip_hop,musicpref_none,musicpref_jazz,musicpref_rock,musicpref_classical,musicpref_world,musicpref_dance,musicpref_pop,musicpref_traditional_irish
5410fc6508ad6ee3090e4e9a,dublin,male,,british,,,False,20.0,True,,,,,,,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5410fc6708ad6ee3090e4eb4,dublin,female,,british,,,False,27.0,True,,,,,,,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,1,1,0
5410fe0208ad6ee3090e54c4,dublin,female,,other,,,False,12.0,True,,,,,,,2.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,hallelujah_dublin,1,0,0,1,0,0,0,1,0
5410fe8808ad6ee3090e56ad,dublin,male,,other,,,False,21.0,True,,,,,,,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,,,,,,,,hallelujah_dublin,1,0,1,1,1,0,1,1,0
5410fe8808ad6ee3090e56b0,dublin,male,,british,,,False,23.0,True,,,,,,,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
541101e408ad6ee3090e63be,dublin,male,,irish,,,False,21.0,True,,,,,,,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,1.0,5.0,3.0,3.0,,,,,,,,hallelujah_dublin,0,0,0,1,0,0,1,1,0
541102b008ad6ee3090e6671,dublin,female,,irish,,,False,41.0,True,,,,,,,,,,,4.0,4.0,,,,3.0,3.0,3.0,4.0,,,,2.0,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
541102b108ad6ee3090e6683,dublin,female,,irish,,,False,21.0,True,,,,,,,,,,,4.0,2.0,,,,4.0,4.0,3.0,5.0,,,,2.0,,,,,,,hallelujah_dublin,0,0,0,0,0,0,0,1,0
5411036108ad6ee3090e68e1,dublin,male,,irish,,,False,11.0,True,,,,,,,,,,,3.0,5.0,,,,2.0,2.0,3.0,2.0,,,,1.0,,,,,,,hallelujah_dublin,0,0,0,1,0,0,0,0,0
5411041208ad6ee3090e6b71,dublin,male,,other,,,True,21.0,True,,,,,,,,,,,3.0,2.0,,,,3.0,3.0,3.0,3.0,,,,2.0,,,,,,,hallelujah_dublin,1,0,0,0,0,0,0,1,0
