_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_pop,musicpref_hiphop,musicpref_jazz,musicpref_classical,musicpref_folk,musicpref_rock,musicpref_world,musicpref_dance
570eb72983a73509d0e01ee3,taipei_city,en,taiwanese,22,female,False,5,1,4,2,3,4,4,4,2,3,3,4,False,3,4,5,4,4,4,-1,2,4,3,5,4,3,2,hallelujah_taiwan,1,0,0,0,1,0,0,0
570eb74683a73509d0e02897,taipei_city,zh_TW,taiwanese,12,male,False,4,4,4,4,4,4,4,4,4,4,5,5,False,5,4,4,5,5,5,-1,5,5,5,5,5,5,5,hallelujah_taiwan,0,0,0,1,0,0,0,0
570eb79083a73509d0e0407e,taipei_city,en,taiwanese,33,male,False,5,2,5,2,4,5,5,2,1,1,2,5,False,4,2,4,4,3,3,-1,1,5,5,5,4,5,4,hallelujah_taiwan,0,0,0,0,0,1,0,1
570eb75a83a73509d0e02f2d,taipei_city,en,taiwanese,14,male,False,4,1,5,5,2,3,2,4,1,3,3,5,False,3,5,5,4,4,4,-1,4,5,5,5,5,5,4,hallelujah_taiwan,1,0,0,1,0,0,1,0
570eb7b683a73509d0e04c1f,taipei_city,en,taiwanese,12,male,False,3,3,5,4,5,2,1,4,3,4,3,4,False,5,5,5,5,1,5,-1,4,1,5,5,3,5,1,hallelujah_taiwan,0,0,0,1,0,0,0,0
570eb75683a73509d0e02de1,taipei_city,en,taiwanese,20,male,False,5,1,4,2,4,4,4,3,4,4,5,5,False,4,3,4,3,2,3,-1,5,5,5,5,5,5,1,hallelujah_taiwan,1,0,0,1,1,1,0,0
570eb73683a73509d0e02365,taipei_city,en,taiwanese,25,female,False,2,2,5,4,2,4,4,3,4,4,3,4,False,5,2,3,4,2,3,-1,5,4,4,4,3,4,2,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb75883a73509d0e02e8b,taipei_city,en,taiwanese,15,female,False,5,2,3,4,2,5,2,5,4,2,3,3,False,1,2,1,2,2,2,-1,1,5,5,4,4,2,5,hallelujah_taiwan,1,0,1,1,1,0,0,0
570eb72783a73509d0e01e26,taipei_city,zh_TW,taiwanese,48,female,False,4,2,4,2,3,4,4,5,4,2,2,5,False,5,3,4,4,3,4,-1,5,4,5,5,3,5,3,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb74b83a73509d0e02a36,taipei_city,en,taiwanese,26,male,False,5,4,3,4,2,2,3,3,5,4,1,4,False,5,3,4,3,2,3,-1,3,4,4,4,3,5,1,hallelujah_taiwan,1,0,0,0,0,0,0,0
570eb74983a73509d0e02992,taipei_city,en,british,15,male,False,4,3,3,5,4,4,5,5,4,5,5,5,False,4,2,5,4,3,3,-1,4,5,5,4,4,4,1,hallelujah_taiwan,0,0,1,1,1,0,1,0
570eb73283a73509d0e02206,taipei_city,en,taiwanese,13,male,False,4,4,4,4,4,5,5,1,2,2,3,5,False,3,4,4,4,4,4,-1,4,5,5,5,4,4,4,hallelujah_taiwan,1,0,0,0,0,0,0,0
