_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_world,musicpref_folk,musicpref_classical,musicpref_dance,musicpref_rock,musicpref_pop,musicpref_jazz,musicpref_hiphop
570eb79f83a73509d0e0455b,taipei_city,en,taiwanese,6,male,False,4,1,5,3,4,2,3,3,3,3,2,5,True,5,5,5,5,5,5,-1,5,5,5,5,5,5,5,humming,0,0,0,0,0,1,0,0
570eb78b83a73509d0e03f2a,taipei_city,en,taiwanese,18,male,False,4,4,4,4,2,4,3,5,3,2,3,3,True,2,3,3,2,3,3,-1,3,3,3,3,3,3,3,humming,0,0,0,0,1,1,0,0
570eb73483a73509d0e0228d,taipei_city,zh_TW,taiwanese,7,male,False,2,2,4,4,4,5,2,4,4,2,1,3,True,2,4,5,3,4,3,-1,5,4,3,4,3,4,1,humming,0,0,0,0,0,1,0,0
570eb79c83a73509d0e04457,taipei_city,en,taiwanese,14,female,False,3,1,5,4,2,4,2,5,4,2,3,4,True,3,2,3,3,3,3,-1,2,2,2,4,4,2,1,humming,0,0,0,0,1,0,0,0
570eb7a983a73509d0e0484a,taichung_city,en,taiwanese,27,female,False,5,1,4,5,1,4,1,5,3,2,1,4,True,4,3,3,4,3,3,-1,3,4,4,5,4,2,4,humming,0,0,0,0,1,0,0,0
570eb79d83a73509d0e044b6,taichung_city,en,taiwanese,17,female,False,5,2,2,2,5,4,5,4,4,2,3,5,True,4,2,2,4,2,2,-1,4,4,4,5,2,3,4,humming,0,0,0,0,1,1,0,0
570eb74983a73509d0e02969,taichung_city,en,taiwanese,21,male,False,4,2,5,4,2,3,2,4,2,4,4,5,True,3,3,3,4,4,3,-1,3,5,5,4,3,5,1,humming,0,0,0,0,0,1,0,0
570eb73483a73509d0e022a3,taichung_city,en,taiwanese,25,male,False,4,2,4,2,4,2,4,2,4,4,1,4,True,4,2,3,4,2,3,-1,4,4,4,4,4,2,1,humming,1,1,1,0,0,1,0,0
570eb7af83a73509d0e04a1c,taichung_city,en,taiwanese,12,male,False,2,4,5,4,5,4,4,4,4,3,2,4,True,4,3,4,3,3,3,-1,4,4,4,5,4,4,1,humming,0,0,0,1,0,0,0,0
570eb72983a73509d0e01ed0,taichung_city,en,taiwanese,20,female,False,4,2,5,2,3,5,4,3,3,2,2,3,True,4,3,4,2,2,4,-1,4,5,4,4,4,4,1,humming,0,0,0,0,0,1,0,0
570eb78783a73509d0e03db4,taichung_city,en,taiwanese,27,female,False,5,1,3,3,2,5,2,5,5,3,1,4,True,5,4,3,3,3,4,-1,5,1,2,5,5,3,1,humming,0,0,0,0,0,1,0,0
570eb78e83a73509d0e03fee,taichung_city,en,taiwanese,11,female,False,3,3,3,3,3,3,3,3,3,3,5,3,True,5,5,5,5,5,5,-1,1,1,1,1,1,1,1,humming,0,0,1,0,0,0,0,0
570eb79b83a73509d0e043e7,taichung_city,en,taiwanese,30,female,False,4,2,4,4,1,5,2,5,3,2,1,3,True,5,3,4,3,2,3,-1,5,3,3,3,3,3,1,humming,0,0,0,0,1,0,0,0
570eb74f83a73509d0e02b96,taichung_city,en,taiwanese,20,female,False,4,2,4,4,1,4,3,5,4,3,3,4,True,4,3,2,2,2,3,-1,4,3,4,4,4,4,2,humming,0,0,0,0,0,1,0,0
570eb78b83a73509d0e03efd,taichung_city,en,taiwanese,15,male,False,3,2,4,4,2,3,3,2,3,3,3,5,True,5,3,3,2,2,2,-1,4,5,4,5,4,4,1,humming,0,1,1,0,1,1,0,0
570eb74783a73509d0e028c5,taichung_city,zh_TW,taiwanese,17,female,False,3,1,5,2,4,4,5,5,1,3,1,4,True,4,4,4,4,3,3,-1,3,4,4,5,4,4,1,humming,0,0,0,0,0,1,0,0
570eb7aa83a73509d0e048cf,taipei_city,en,taiwanese,7,female,False,4,4,4,4,4,4,4,4,4,4,1,5,True,2,2,5,5,2,4,-1,3,4,4,5,4,5,1,humming,0,0,1,0,0,0,0,0
570eb7ba83a73509d0e04d8e,taichung_city,en,taiwanese,13,female,False,1,4,5,2,2,3,4,2,4,3,3,3,True,5,1,5,2,5,2,-1,5,1,5,3,3,1,1,humming,0,0,0,0,0,1,0,0
570eb7b983a73509d0e04d68,taichung_city,en,chinese,14,female,False,5,1,4,2,4,5,2,5,4,3,3,4,True,2,1,1,1,3,2,-1,4,4,4,4,3,4,1,humming,0,0,0,0,0,1,0,0
570eb7bb83a73509d0e04db5,taipei_city,zh_TW,taiwanese,10,female,False,4,2,2,3,2,4,2,4,2,2,3,3,False,3,3,3,2,3,3,-1,5,4,3,3,3,3,1,humming,0,0,0,0,0,0,0,0
570eb7ab83a73509d0e048f3,taipei_city,en,taiwanese,48,male,False,2,2,4,3,3,1,4,2,4,2,3,3,False,4,4,4,3,4,4,-1,3,3,3,3,3,3,3,humming,0,0,1,0,0,0,1,0
570eb78983a73509d0e03e46,taipei_city,en,taiwanese,42,female,False,4,1,4,5,1,3,1,5,3,3,2,5,False,2,5,3,5,3,4,-1,3,1,2,2,4,2,1,humming,1,0,1,0,0,0,0,0
570eb75183a73509d0e02c1c,taipei_city,en,taiwanese,6,female,False,4,2,5,3,3,1,3,2,3,4,1,3,False,3,5,5,4,2,3,-1,4,5,5,5,5,3,1,humming,0,1,0,0,0,0,0,0
570eb76283a73509d0e031e5,taipei_city,en,taiwanese,33,male,False,4,1,4,4,3,5,4,5,3,5,2,4,False,5,3,2,2,2,2,-1,5,3,3,3,2,3,1,humming,0,0,0,0,0,1,0,0
570eb7be83a73509d0e04f04,taipei_city,en,taiwanese,18,male,False,4,1,5,2,5,5,5,1,5,2,3,5,False,2,2,4,4,2,3,-1,3,3,4,4,4,2,1,humming,0,0,1,0,0,1,0,0
570eb77783a73509d0e038e1,taipei_city,en,taiwanese,18,female,False,4,2,5,4,1,4,4,2,3,2,3,4,False,4,4,3,3,3,2,-1,3,2,2,4,4,2,1,humming,0,0,0,0,0,1,0,0
570eb74283a73509d0e0273c,taipei_city,en,taiwanese,21,female,False,5,2,4,2,4,5,2,5,4,4,4,5,False,3,3,3,5,3,3,-1,3,1,1,3,3,1,1,humming,0,0,0,0,1,1,0,0
