,D2,F,T2,adjustedP,df1,df2,p
"('concentration', 'lazy')",0.04439205345679102,0.8589947400729077,1.727275909768225,1,2,185,0.26580862742581635
"('concentration', 'nervous')",0.06759352756521937,1.2909963225192458,2.5960252137615267,1,2,184,0.8920477762011454
"('concentration', 'outgoing')",0.08844709474369472,1.6892870984051982,3.396936013097409,1,2,184,0.9947515804666356
"('concentration', 'reserved')",0.05730720821731363,1.1089054592811298,2.2297990856896233,1,2,185,0.6993316431673842
"('concentration', 'stress')",0.10666961639006615,2.064077515446505,4.150469382411351,1,2,185,0.9998344207684424
"('concentration', 'thorough')",0.06381102979058459,1.2187528564228942,2.450753026502559,1,2,184,0.8324553203215042
"('concentration', 'trusting')",0.054239499511037695,1.0495447080301925,2.110435845336387,1,2,185,0.6062445050923675
"('artistic', 'fault')",0.09853445519925387,1.8819497056272816,3.784355386315729,1,2,184,0.9990638993994115
"('artistic', 'imagination')",0.003034206694772114,0.05795154988670346,0.11653300792434934,5.032891717562447e-19,2,184,2.9432115307382727e-21
"('artistic', 'lazy')",0.03822620722794262,0.7396844341454194,1.4873654567680865,1,2,185,0.1025303550082028
"('artistic', 'nervous')",0.05570404648032684,1.0639142791616443,2.1393928439663497,1,2,184,0.6299701848250567
"('artistic', 'outgoing')",0.08861084066887401,1.6924145485450064,3.4032249074002845,1,2,184,0.9948908871827065
"('artistic', 'reserved')",0.048115667646314676,0.9310473880986401,1.872160153365914,1,2,185,0.3933587725212943
"('artistic', 'stress')",0.10910981804816292,2.1112958850824706,4.245416590544211,1,2,185,0.9998956767000012
"('artistic', 'thorough')",0.04424833162222083,0.8451169136982998,1.6994198808063636,1,2,184,0.24305089362254162
"('artistic', 'trusting')",0.05360345453835576,1.0372371159401939,2.085687606106768,1,2,185,0.5853950536554342
"('fault', 'imagination')",0.10993733175730072,2.09973789086995,4.222299019684138,1,2,184,0.9998831370123792
"('fault', 'lazy')",0.10134568792368485,1.9356425848084182,3.892324762929971,1,2,184,0.9994331806402955
"('fault', 'nervous')",0.12808811623977934,2.446407118853498,4.919405619433664,1,2,184,0.999996480596228
"('fault', 'outgoing')",0.20851236052924663,3.9824625276929186,8.008212691556412,1,2,184,0.9999999999997167
"('fault', 'reserved')",0.1267320036081569,2.4205061711827724,4.867322192052314,1,2,184,0.9999954010851594
"('fault', 'stress')",0.20043383081778596,3.8281673973079107,7.69794530980395,1,2,184,0.9999999999985456
"('fault', 'thorough')",0.12613000244571576,2.409008305708687,4.844201484305511,1,2,184,0.9999948224351272
"('fault', 'trusting')",0.14335519837616198,2.7379993408255174,5.505759544051312,1,2,184,0.9999998340844484
"('imagination', 'lazy')",0.036894963088119515,0.7046719320912399,1.4170033417052106,1,2,184,0.07070143297597282
"('imagination', 'nervous')",0.05972969663979148,1.1408018117231504,2.2940036431389434,1,2,184,0.743462138513157
"('imagination', 'outgoing')",0.08935393119740215,1.706607137305862,3.431764352191135,1,2,184,0.9954802621099255
"('imagination', 'reserved')",0.06616428505097122,1.2636986374250305,2.5411331296046806,1,2,184,0.8719314881164846
"('imagination', 'stress')",0.08905852758265224,1.7009651033118074,3.420418957746569,1,2,184,0.9952541221740904
"('imagination', 'thorough')",0.056853610717375005,1.0858702748906268,2.1835434875518036,1,2,184,0.6648033320022761
"('imagination', 'trusting')",0.04064012204073641,0.7762022488129597,1.5608414785912776,1,2,184,0.14391293287108028
"('lazy', 'nervous')",0.06868003239453249,1.311747920927677,2.6377539714306546,1,2,184,0.9055505278784078
"('lazy', 'outgoing')",0.11235651051254673,2.145942771559537,4.31521100802733,1,2,184,0.9999258833804407
"('lazy', 'reserved')",0.07668159811282589,1.483803615965089,2.9836483521027732,1,2,185,0.9721003851006407
"('lazy', 'stress')",0.14919012701681644,2.8868575431634964,5.8049243570638955,1,2,185,0.9999999658538593
"('lazy', 'thorough')",0.09422896022190734,1.7997173028722053,3.6189967503408473,1,2,184,0.9980153327172022
"('lazy', 'trusting')",0.10463010484861139,2.024612576341292,4.071112856210598,1,2,185,0.9997573029048132
"('nervous', 'outgoing')",0.13225256534039231,2.525945628942685,5.079347188634747,1,2,184,0.9999984592040795
"('nervous', 'reserved')",0.09347231898316806,1.7852659035760776,3.58993687132146,1,2,184,0.9977403034803749
"('nervous', 'stress')",0.13447157065838428,2.56832731559773,5.164571232451957,1,2,184,0.9999990102523958
"('nervous', 'thorough')",0.09237869014549865,1.7643782408295234,3.5479345060158893,1,2,184,0.9972775715322414
"('nervous', 'trusting')",0.12742732469829662,2.4337863919772023,4.8940269838671995,1,2,184,0.9999959901877791
"('outgoing', 'reserved')",0.11011379552317963,2.1031082442308944,4.22907636068169,1,2,184,0.9998869385761019
"('outgoing', 'stress')",0.12459787777498675,2.379745632390688,4.785358065133448,1,2,184,0.9999930046344124
"('outgoing', 'thorough')",0.1521410520744795,2.905803940219682,5.843192705876533,1,2,184,0.9999999720962345
"('outgoing', 'trusting')",0.09943482171240617,1.8991461724972427,3.818935238173803,1,2,184,0.9992021322682947
"('reserved', 'stress')",0.16769735870599894,3.244976022404208,6.5250328666722455,1,2,185,0.9999999992590127
"('reserved', 'thorough')",0.08370859643137067,1.598784588537349,3.2149472704283646,1,2,184,0.9887718370509923
"('reserved', 'trusting')",0.11277179664421802,2.1821558725649757,4.387902619427951,1,2,185,0.9999482778049921
"('stress', 'thorough')",0.15843753845268135,3.026063098926969,6.085018188059665,1,2,184,0.9999999922732188
"('stress', 'trusting')",0.12584263463645923,2.4350790921364442,4.896483363647336,1,2,185,0.9999960433776531
"('thorough', 'trusting')",0.09368319688293424,1.7892935465014452,3.598035935899645,1,2,184,0.9978204185724218
