,p,adjustedP,F,T2,df1,df2,D2
"('song_tension', 'personality_thorough')",0.7638584164165075,1,1.4703637395996643,2.978429113548038,2,78,0.15564694077251037
"('song_tension', 'personality_trusting')",0.6010296394500707,1,0.9297782624798812,1.883396993228477,2,78,0.09842268158161718
"('age', 'musical_expertise')",0.13200860584934512,1,0.1417231593516489,0.285561589738397,2,134,0.008851117148000088
"('age', 'concentration')",0.892459972319981,1,2.2948736650439403,4.648590244576186,2,78,0.24292632891011037
"('age', 'personality_artistic')",0.8517562065762889,1,1.956385237995087,3.96293420004133,2,78,0.207095271098934
"('age', 'personality_fault')",0.9261867541465016,1,2.6952713342046897,5.459652189799243,2,78,0.285310856370154
"('age', 'personality_imagination')",0.8063910481500974,1,1.6769676686688642,3.3969345083292377,2,78,0.17751722269333436
"('age', 'personality_lazy')",0.8792177616599897,1,2.1720972336509723,4.39988926816479,2,78,0.22992969723957934
"('age', 'personality_nervous')",0.8070516899673769,1,1.6805328829472008,3.4041563526366376,2,78,0.1778946222990759
"('age', 'personality_outgoing')",0.822191097636557,1,1.765856233076159,3.5769908311029885,2,78,0.18692661762538199
"('age', 'personality_reserved')",0.7790888916669575,1,1.5396076809772743,3.1186924819796067,2,78,0.16297683292925685
"('age', 'personality_stress')",0.8947603644517971,1,2.3177755172864574,4.694981176041798,2,78,0.24535062919960365
"('age', 'personality_thorough')",0.8915987157909646,1,2.2864283430626187,4.631483053896074,2,78,0.24203234023585934
"('age', 'personality_trusting')",0.794739772782555,1,1.6160623556982756,3.2735622076965067,2,78,0.17107002504736582
"('musical_expertise', 'concentration')",0.5212777406910675,1,0.7436354952772509,1.5063385673564826,2,78,0.07871833803604845
"('musical_expertise', 'personality_artistic')",0.562793745833518,1,0.8361883533116996,1.6938174336313914,2,78,0.08851562072525335
"('musical_expertise', 'personality_fault')",0.6203943220795701,1,0.9807510364344455,1.986649535341569,2,78,0.10381845958881748
"('musical_expertise', 'personality_imagination')",0.26661265035938075,1,0.3113172432755464,0.6306169799684145,2,78,0.03295482282415585
"('musical_expertise', 'personality_lazy')",0.6880815073906761,1,1.1825886540366135,2.3955000940741655,2,78,0.12518419846452092
"('musical_expertise', 'personality_nervous')",0.33549287117130316,1,0.4108587580698789,0.8322523560902675,2,78,0.043491897318265596
"('musical_expertise', 'personality_outgoing')",0.22592399778862166,1,0.25692782398925995,0.5204435409013214,2,78,0.027197372137423893
"('musical_expertise', 'personality_reserved')",0.2270114217322833,1,0.2583429009009586,0.5233099787480957,2,78,0.027347166631352098
"('musical_expertise', 'personality_stress')",0.7977987964161318,1,1.631702879657617,3.3052442946910703,2,78,0.17272566959353336
"('musical_expertise', 'personality_thorough')",0.5417894258501081,1,0.7882873095555881,1.5967871142279861,2,78,0.0834450040338496
"('musical_expertise', 'personality_trusting')",0.3044962600943291,1,0.36481460196341847,0.7389834244900015,2,78,0.03861784347334847
"('concentration', 'personality_artistic')",0.7764143019923448,1,1.5271001471533256,3.0933567083362234,2,78,0.16165283443563488
"('concentration', 'personality_fault')",0.7111088137469015,1,1.261683719481021,2.5557183035641193,2,78,0.1335568919927056
"('concentration', 'personality_imagination')",0.48031904934845765,1,0.6600636702462752,1.3370520499860445,2,78,0.06987175228959329
"('concentration', 'personality_lazy')",0.8423613681454304,1,1.8919065291483992,3.832323482121116,2,78,0.20026980777536155
"('concentration', 'personality_nervous')",0.6215190390783047,1,0.9837930251133779,1.9928115124091499,2,78,0.10414047258396203
"('concentration', 'personality_outgoing')",0.47825519940279976,1,0.6560332799722792,1.3288879260976938,2,78,0.06944511097671818
"('concentration', 'personality_reserved')",0.47031364897596506,1,0.6406756829551903,1.2977789475246162,2,78,0.06781941596741543
"('concentration', 'personality_stress')",0.9166380296055392,1,2.565412508884597,5.196604825689311,2,78,0.2715645102456995
"('concentration', 'personality_thorough')",0.6549724809749302,1,1.0787816734706386,2.185224415491806,2,78,0.11419559848699115
"('concentration', 'personality_trusting')",0.49932948405948924,1,0.6979793479761668,1.4138556023106967,2,78,0.07388535728204286
"('personality_artistic', 'personality_fault')",0.6766092163862195,1,1.145391100551311,2.3201512036808607,2,78,0.12124661128912884
"('personality_artistic', 'personality_imagination')",0.5431796128713102,1,0.7913874068701411,1.603066798531824,2,78,0.08377316818134048
"('personality_artistic', 'personality_lazy')",0.8146815575165942,1,1.7226398948303943,3.4894500433743882,2,78,0.18235190549246802
"('personality_artistic', 'personality_nervous')",0.6094943412326399,1,0.9517402204660699,1.9278840363287055,2,78,0.10074748835008074
"('personality_artistic', 'personality_outgoing')",0.5411184123477957,1,0.786794409131806,1.593763033882376,2,78,0.08328697144804675
"('personality_artistic', 'personality_reserved')",0.5095099833341973,1,0.7188958245249711,1.4562248753198133,2,78,0.07609949348445476
"('personality_artistic', 'personality_stress')",0.7824390696714159,1,1.555495506023543,3.1508755122015355,2,78,0.16465865579891895
"('personality_artistic', 'personality_thorough')",0.8062498712206039,1,1.6762074125743487,3.3953945023941934,2,78,0.17743674496382558
"('personality_artistic', 'personality_trusting')",0.5750290305427345,1,0.8651916860822984,1.752567774371835,2,78,0.09158579982201204
"('personality_fault', 'personality_imagination')",0.5590322056326446,1,0.8274388533682798,1.6760940875921564,2,78,0.08758943296449333
"('personality_fault', 'personality_lazy')",0.8771002400728757,1,2.1537535334461952,4.3627315164679334,2,78,0.22798790505413075
"('personality_fault', 'personality_nervous')",0.6665330477633054,1,1.1138200935830296,2.256199676745111,2,78,0.11790462826861549
"('personality_fault', 'personality_outgoing')",0.49080659548353556,1,0.6808012895557369,1.3790590224334158,2,78,0.07206695536587528
"('personality_fault', 'personality_reserved')",0.5203875512663276,1,0.7417423324250344,1.5025036990148133,2,78,0.07851793523883864
"('personality_fault', 'personality_stress')",0.7830665817532609,1,1.5584992951806893,3.156960110750627,2,78,0.16497662514245212
"('personality_fault', 'personality_thorough')",0.8104933266361204,1,1.699310853608349,3.442193780386143,2,78,0.17988238465243714
"('personality_fault', 'personality_trusting')",0.5411457418114248,1,0.78685516917631,1.5938861119212433,2,78,0.0832934032681424
"('personality_imagination', 'personality_lazy')",0.6125547409102363,1,0.9598009265951188,1.9442121333593432,2,78,0.10160076309813341
"('personality_imagination', 'personality_nervous')",0.2732969140708029,1,0.3205474370636859,0.6493140391802867,2,78,0.033931894950711756
"('personality_imagination', 'personality_outgoing')",0.11183761788198796,1,0.11878120782168489,0.24060808763879757,2,78,0.012573712966930712
"('personality_imagination', 'personality_reserved')",0.11303016463809709,1,0.12012893801998507,0.24333810521996976,2,78,0.012716378401817774
"('personality_imagination', 'personality_stress')",0.7082551283530153,1,1.251537408257479,2.535165519290791,2,78,0.1324828432661639
"('personality_imagination', 'personality_thorough')",0.5356887952795074,1,0.7747960833498763,1.569458732939493,2,78,0.08201687572135415
"('personality_imagination', 'personality_trusting')",0.22048245253355644,1,0.24987717154764857,0.5061614500580573,2,78,0.026451017712711383
"('personality_lazy', 'personality_nervous')",0.6230361828648252,1,0.9879111199735184,2.001153294305332,2,78,0.10457639796047219
"('personality_lazy', 'personality_outgoing')",0.6281848454585911,1,1.0020143411893858,2.029721357793884,2,78,0.10606930966535782
"('personality_lazy', 'personality_reserved')",0.5939204307423972,1,0.9116992923098647,1.8467754895507515,2,78,0.09650891267974895
"('personality_lazy', 'personality_stress')",0.8021769734211576,1,1.6545155781824339,3.3514546327285197,2,78,0.17514053242000652
"('personality_lazy', 'personality_thorough')",0.9168247602289754,1,2.567802599759359,5.20144629182024,2,78,0.2718175158951222
"('personality_lazy', 'personality_trusting')",0.6650912557986619,1,1.1093828015253773,2.2472113159103797,2,78,0.11743491392821984
"('personality_nervous', 'personality_outgoing')",0.22546442461798957,1,0.2563303891131809,0.519233352306187,2,78,0.02713413002374267
"('personality_nervous', 'personality_reserved')",0.20825087095792447,1,0.23421115813854024,0.4744277305883251,2,78,0.024792674953325378
"('personality_nervous', 'personality_stress')",0.6573352515353661,1,1.0858439916440101,2.199530136919918,2,78,0.11494318780033119
"('personality_nervous', 'personality_thorough')",0.5856739076994238,1,0.8911304177314562,1.8051103333534624,2,78,0.09433157225911643
"('personality_nervous', 'personality_trusting')",0.28705134490776263,1,0.339817792909597,0.6883488625604657,2,78,0.03597177926928885
"('personality_outgoing', 'personality_reserved')",0.023595915613889375,1,0.023886069049805513,0.0483846014085804,2,78,0.0025284856219967822
"('personality_outgoing', 'personality_stress')",0.6785917083200395,1,1.1517213920906917,2.3329741019272983,2,78,0.12191671113297493
"('personality_outgoing', 'personality_thorough')",0.5093357913508451,1,0.7185342053354447,1.4554923646538493,2,78,0.07606121389481406
"('personality_outgoing', 'personality_trusting')",0.15717601339207166,1,0.17137255738366916,0.3471392829053811,2,78,0.018140827042152172
"('personality_reserved', 'personality_stress')",0.5965084239836442,1,0.9182428027971185,1.860030292845445,2,78,0.09720158304547163
"('personality_reserved', 'personality_thorough')",0.5236759178004522,1,0.7487537119059835,1.5167062369377613,2,78,0.07926013238190882
"('personality_reserved', 'personality_trusting')",0.1571425429892852,1,0.17133267148425405,0.34705848839118125,2,78,0.01813660487721657
"('personality_stress', 'personality_thorough')",0.8478405105583399,1,1.9290154931472872,3.9074929220162993,2,78,0.2041980172150453
"('personality_stress', 'personality_trusting')",0.7341944494593315,1,1.3477550046575544,2.7300678299473535,2,78,0.1426680607907972
"('personality_thorough', 'personality_trusting')",0.5762090133941904,1,0.8680339525891156,1.7583251860138496,2,78,0.09188667101104633
