_id,location,language,nationality,age,sex,hearing_impairments,personality_trusting,personality_artistic,personality_imagination,personality_reserved,personality_outgoing,personality_lazy,personality_stress,personality_nervous,personality_fault,personality_thorough,musical_expertise,concentration,critical_reaction,control_power,control_like_dislike,control_tension,control_engagement,control_activity,control_positivity,control_familiarity,song_power,song_like_dislike,song_tension,song_engagement,song_activity,song_positivity,song_familiarity,song,musicpref_folk,musicpref_hiphop,musicpref_jazz,musicpref_rock,musicpref_dance,musicpref_classical,musicpref_pop,musicpref_world
570eb73083a73509d0e02147,taipei_city,zh_TW,taiwanese,36,male,False,4,1,4,4,4,4,3,4,3,4,3,5,False,4,5,5,3,4,4,-1,4,5,5,5,3,4,5,dust_taiwan,0,0,0,0,0,0,1,0
570eb78d83a73509d0e03faf,taipei_city,zh_TW,taiwanese,23,female,False,4,1,3,4,2,5,1,5,3,2,2,2,False,3,3,3,2,2,3,-1,3,4,4,4,3,4,1,dust_taiwan,1,0,0,0,0,0,0,0
570eb77283a73509d0e0377e,taipei_city,en,taiwanese,8,male,False,3,3,4,4,2,4,3,4,4,2,4,5,False,5,4,5,5,4,4,-1,4,5,5,5,2,5,2,dust_taiwan,0,0,1,1,0,1,1,0
570eb78a83a73509d0e03eb9,taipei_city,en,taiwanese,13,female,False,5,1,5,5,3,5,5,5,5,5,2,4,False,1,5,5,5,1,5,-1,1,5,5,5,1,5,1,dust_taiwan,0,0,1,0,0,1,1,1
570eb7ba83a73509d0e04daf,taipei_city,en,taiwanese,17,female,False,4,1,4,3,5,2,4,4,4,4,3,5,False,3,5,4,4,4,4,-1,4,5,5,5,3,3,1,dust_taiwan,0,0,0,0,1,0,1,0
570eb77183a73509d0e03720,taipei_city,en,taiwanese,15,female,False,2,3,2,2,2,5,4,3,2,2,2,3,False,3,2,2,2,2,2,-1,4,5,4,4,4,4,4,dust_taiwan,0,0,0,0,0,0,1,0
570eb76e83a73509d0e035eb,taipei_city,en,taiwanese,20,male,False,4,1,4,2,4,2,2,5,4,5,1,4,False,2,4,4,4,3,4,-1,4,2,4,4,2,3,1,dust_taiwan,0,0,0,1,0,0,1,0
570eb71e83a73509d0e01b6f,taipei_city,zh_TW,taiwanese,29,female,False,4,2,4,2,4,4,2,5,4,4,4,5,False,2,4,4,2,2,4,-1,3,5,4,5,2,5,4,dust_taiwan,0,0,1,1,0,1,1,0
570eb76583a73509d0e032c0,taipei_city,en,taiwanese,13,male,False,5,1,5,2,5,1,5,2,4,4,5,5,False,5,5,5,5,5,5,-1,5,5,5,5,5,5,1,dust_taiwan,0,0,1,0,0,1,1,0
570eb72283a73509d0e01c94,taipei_city,en,taiwanese,11,female,False,4,5,4,3,4,3,4,3,3,3,3,4,False,4,3,3,2,2,3,-1,4,5,4,5,3,4,1,dust_taiwan,0,0,0,0,0,0,1,0
